"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"EST","Estonia","SELF_OTHER","Self- and other supply - Other manufacturing","2020","2020","M3","Cubic metres","6","Millions",,,1.383,,
"EST","Estonia","SELF_OTHER","Self- and other supply - Other manufacturing","2021","2021","M3","Cubic metres","6","Millions",,,1.785,,
"EST","Estonia","SELF_MET","Self- and other supply for basic metals","2019","2019","M3","Cubic metres","6","Millions",,,0,,
"EST","Estonia","SELF_MET","Self- and other supply for basic metals","2020","2020","M3","Cubic metres","6","Millions",,,0,,
"EST","Estonia","SELF_MET","Self- and other supply for basic metals","2021","2021","M3","Cubic metres","6","Millions",,,0,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2001","2001","M3","Cubic metres","6","Millions",,,224.98,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2003","2003","M3","Cubic metres","6","Millions",,,162.5,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2004","2004","M3","Cubic metres","6","Millions",,,156.6,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2005","2005","M3","Cubic metres","6","Millions",,,151.9,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2006","2006","M3","Cubic metres","6","Millions",,,152.4,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2007","2007","M3","Cubic metres","6","Millions",,,152.7,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2008","2008","M3","Cubic metres","6","Millions",,,155.1,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2009","2009","M3","Cubic metres","6","Millions",,,152.4,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,152.8,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2011","2011","M3","Cubic metres","6","Millions",,,149.3,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,140.3,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2013","2013","M3","Cubic metres","6","Millions",,,144.7,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2014","2014","M3","Cubic metres","6","Millions",,,137.8,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,136.9,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,137,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,144.7,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,141.14,,
"NLD","Netherlands","PUB_IND","Public water supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,153.7,,
"CHE","Switzerland","SELF_IND","Self- and other supply for industrial activities","2012","2012","M3","Cubic metres","6","Millions",,,643,,
"LUX","Luxembourg","IMP","Imported water","2013","2013","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","IMP","Imported water","2014","2014","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","IMP","Imported water","2015","2015","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","IMP","Imported water","2016","2016","M3","Cubic metres","6","Millions",,,0,,
"LUX","Luxembourg","IMP","Imported water","2018","2018","M3","Cubic metres","6","Millions",,,0.896,,
"LUX","Luxembourg","IMP","Imported water","2019","2019","M3","Cubic metres","6","Millions",,,0.806,,
"LUX","Luxembourg","IMP","Imported water","2020","2020","M3","Cubic metres","6","Millions",,,0.849,,
"LUX","Luxembourg","SELF_IND","Self- and other supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,1.91,,
"LUX","Luxembourg","SELF_IND","Self- and other supply for industrial activities","2016","2016","M3","Cubic metres","6","Millions",,,1.27,,
"LUX","Luxembourg","SELF_IND","Self- and other supply for industrial activities","2017","2017","M3","Cubic metres","6","Millions",,,1.59,,
"LUX","Luxembourg","SELF_IND","Self- and other supply for industrial activities","2018","2018","M3","Cubic metres","6","Millions",,,1.91,,
"LUX","Luxembourg","SELF_IND","Self- and other supply for industrial activities","2019","2019","M3","Cubic metres","6","Millions",,,4.1,,
"LUX","Luxembourg","SELF_IND","Self- and other supply for industrial activities","2020","2020","M3","Cubic metres","6","Millions",,,3.47,,
"SWE","Sweden","PUB_IND","Public water supply for industrial activities","2015","2015","M3","Cubic metres","6","Millions",,,61,,
"TUR","Türkiye","PUB_IND","Public water supply for industrial activities","2010","2010","M3","Cubic metres","6","Millions",,,115.1,,
